 radius  wavelength  VZA  VAA  HDRF ARF
    100  0.6500  0.8900000E+02  0.3000000E+02  0.1250921E+01  0.1288536E+01
    100  0.6500  0.8900000E+02  0.3100000E+02  0.1222128E+01  0.1258877E+01
    100  0.6500  0.8900000E+02  0.3200000E+02  0.1194124E+01  0.1230031E+01
    100  0.6500  0.8900000E+02  0.3300000E+02  0.1166931E+01  0.1202020E+01
    100  0.6500  0.8900000E+02  0.3400000E+02  0.1140559E+01  0.1174854E+01
    100  0.6500  0.8900000E+02  0.3500000E+02  0.1115009E+01  0.1148536E+01
    100  0.6500  0.8900000E+02  0.3600000E+02  0.1090273E+01  0.1123057E+01
    100  0.6500  0.8900000E+02  0.3700000E+02  0.1066336E+01  0.1098400E+01
    100  0.6500  0.8900000E+02  0.3800000E+02  0.1043175E+01  0.1074542E+01
    100  0.6500  0.8900000E+02  0.3900000E+02  0.1020762E+01  0.1051456E+01
    100  0.6500  0.8900000E+02  0.4000000E+02  0.9990709E+00  0.1029112E+01
    100  0.6500  0.8900000E+02  0.4100000E+02  0.9780739E+00  0.1007484E+01
    100  0.6500  0.8900000E+02  0.4200000E+02  0.9577460E+00  0.9865447E+00
    100  0.6500  0.8900000E+02  0.4300000E+02  0.9380657E+00  0.9662727E+00
    100  0.6500  0.8900000E+02  0.4400000E+02  0.9190166E+00  0.9466508E+00
    100  0.6500  0.8900000E+02  0.4500000E+02  0.9005857E+00  0.9276656E+00
    100  0.6500  0.8900000E+02  0.4600000E+02  0.8827621E+00  0.9093061E+00
    100  0.6500  0.8900000E+02  0.4700000E+02  0.8655349E+00  0.8915609E+00
    100  0.6500  0.8900000E+02  0.4800000E+02  0.8488933E+00  0.8744189E+00
    100  0.6500  0.8900000E+02  0.4900000E+02  0.8328250E+00  0.8578674E+00
    100  0.6500  0.8900000E+02  0.5000000E+02  0.8173135E+00  0.8418895E+00
    100  0.6500  0.8900000E+02  0.5100000E+02  0.8023388E+00  0.8264645E+00
    100  0.6500  0.8900000E+02  0.5200000E+02  0.7878796E+00  0.8115705E+00
    100  0.6500  0.8900000E+02  0.5300000E+02  0.7739112E+00  0.7971821E+00
    100  0.6500  0.8900000E+02  0.5400000E+02  0.7604092E+00  0.7832741E+00
    100  0.6500  0.8900000E+02  0.5500000E+02  0.7473495E+00  0.7698218E+00
    100  0.6500  0.8900000E+02  0.5600000E+02  0.7347120E+00  0.7568043E+00
    100  0.6500  0.8900000E+02  0.5700000E+02  0.7224785E+00  0.7442029E+00
    100  0.6500  0.8900000E+02  0.5800000E+02  0.7106346E+00  0.7320029E+00
    100  0.6500  0.8900000E+02  0.5900000E+02  0.6991682E+00  0.7201917E+00
    100  0.6500  0.8900000E+02  0.6000000E+02  0.6880707E+00  0.7087605E+00
    100  0.6500  0.8900000E+02  0.6100000E+02  0.6773334E+00  0.6977004E+00
    100  0.6500  0.8900000E+02  0.6200000E+02  0.6669482E+00  0.6870028E+00
    100  0.6500  0.8900000E+02  0.6300000E+02  0.6569050E+00  0.6766576E+00
    100  0.6500  0.8900000E+02  0.6400000E+02  0.6471929E+00  0.6666535E+00
    100  0.6500  0.8900000E+02  0.6500000E+02  0.6377985E+00  0.6569766E+00
    100  0.6500  0.8900000E+02  0.6600000E+02  0.6287077E+00  0.6476125E+00
    100  0.6500  0.8900000E+02  0.6700000E+02  0.6199046E+00  0.6385447E+00
    100  0.6500  0.8900000E+02  0.6800000E+02  0.6113752E+00  0.6297588E+00
    100  0.6500  0.8900000E+02  0.6900000E+02  0.6031055E+00  0.6212404E+00
    100  0.6500  0.8900000E+02  0.7000000E+02  0.5950841E+00  0.6129778E+00
